"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c] [d]             IUMBV34","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 3 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [e] [c] [d]             IUMBV37","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [e] [c] [d]             IUMBV42","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 10 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [c] [d]             IUMBV45"
"31 Dec 25","3.97","3.99","3.99","4.48"
"30 Nov 25","4.06","4.02","4.06","4.49"
"31 Oct 25","4.2","4.19","4.17","4.55"
"30 Sep 25","4.19","4.18","4.16","4.54"
"31 Aug 25","4.1","4.1","4.11","4.46"
"31 Jul 25","4.21","4.18","4.15","4.47"
"30 Jun 25","4.28","4.28","4.26","4.51"
"31 May 25","4.18","4.27","4.19","4.53"
"30 Apr 25","4.42","4.34","4.29","4.59"
"31 Mar 25","4.54","4.38","4.32","4.6"
"28 Feb 25","4.65","4.49","4.38","4.6"
"31 Jan 25","4.63","4.5","4.37","4.57"
"31 Dec 24","4.6","4.48","4.37","4.58"
"30 Nov 24","4.53","4.44","4.29","4.61"
"31 Oct 24","4.4","4.28","4.06","4.65"
"30 Sep 24","4.58","4.43","4.09","4.8"
"31 Aug 24","4.8","4.62","4.33","4.85"
"31 Jul 24","4.99","4.78","4.49","4.86"
"30 Jun 24","5.16","4.86","4.64","4.87"
"31 May 24","5.19","4.88","4.66","4.87"
"30 Apr 24","4.98","4.74","4.51","4.78"
"31 Mar 24","4.96","4.73","4.53","4.79"
"29 Feb 24","4.76","4.53","4.41","4.75"
"31 Jan 24","4.71","4.75","4.43","4.68"
"31 Dec 23","5.03","5.07","4.68","4.7"
"30 Nov 23","5.28","5.27","4.89","4.89"
"31 Oct 23","5.6","5.43","5.02","4.99"
"30 Sep 23","5.91","5.79","5.24","5.1"
"31 Aug 23","6.18","6.01","5.53","5.14"
"31 Jul 23","6.22","5.93","5.71","5.16"
"30 Jun 23","5.49","5.16","4.95","4.83"
"31 May 23","4.72","4.46","4.28","4.4"
"30 Apr 23","4.6","4.36","4.16","4.23"
"31 Mar 23","4.74","4.56","4.26","4.33"
"28 Feb 23","4.79","4.66","4.36","4.42"
"31 Jan 23","5.14","4.88","4.66","4.86"
"31 Dec 22","5.43","5.28","5.05","5"
"30 Nov 22","5.98","5.63","5.5","5.33"
"31 Oct 22","5.99","5.9","5.61","5.21"
"30 Sep 22","4.17","4.45","3.97","4.17"
"31 Aug 22","3.6","3.75","3.61","3.75"
"31 Jul 22","3.48","3.32","3.43","3.57"
"30 Jun 22","2.87","2.98","2.9","3.17"
"31 May 22","2.63","2.56","2.62","2.78"
"30 Apr 22","2.35","2.26","2.35","2.64"
"31 Mar 22","2.14","2.03","2.11","2.5"
"28 Feb 22","1.78","1.79","1.79","2.24"
"31 Jan 22","1.64","1.63","1.63","2.34"
"31 Dec 21","1.57","1.39","1.59","2.44"
"30 Nov 21","1.53","1.38","1.52","2.5"
"31 Oct 21","1.29","1.12","1.3","2.53"
"30 Sep 21","1.2","1.18","1.28","2.59"
"31 Aug 21","1.23","1.39","1.39","2.59"
"31 Jul 21","1.29","1.51","1.45","2.58"
"30 Jun 21","1.39","1.66","1.6","2.59"
"31 May 21","1.47","1.71","1.68","2.59"
"30 Apr 21","1.49","1.71","1.71","2.59"
"31 Mar 21","1.56","1.71","1.74","2.55"
"28 Feb 21","1.61","1.75","1.8","2.55"
"31 Jan 21","1.75","2.1","1.92","2.54"
"31 Dec 20","1.86","2.04","2","2.53"
"30 Nov 20","1.92","2.05","2.05","2.52"
"31 Oct 20","1.94","2.01","2.05","2.46"
"30 Sep 20","1.75","1.88","1.92","2.39"
"31 Aug 20","1.6","1.83","1.79","2.32"
"31 Jul 20","1.45","1.67","1.7","2.32"
"30 Jun 20","1.41","1.62","1.69","2.4"
"31 May 20","1.42","1.64","1.7","2.4"
"30 Apr 20","1.38","1.59","1.67","2.42"
"31 Mar 20","1.4","1.56","1.66","2.36"
"29 Feb 20","1.4","1.56","1.67","2.38"
"31 Jan 20","1.41","1.57","1.68","2.42"
